DateTime,Load Demand (kWh),PV Production (kWh),Energy Exported to Grid (kWh),Energy Imported from Grid (kWh),Hydrogen Production (kg),Fuel Cell Output (kWh),Ambient Temperature (°C),Electrolyser Power (kW),Electrolyser Efficiency (%),PV Efficiency (%),Fuel Cell Electrical Efficiency (%),Converter Efficiency (%),Solar Irradiance (W/m^2),Hydrogen Supply to Fuel Cell (kg),Hydrogen Consumption Rate (kg/kWh),Hydrogen Discharge to Storage (kg),Hydrogen Flow from Tank to FC (kg),Building Load Demand (kWh),E_PV2EZ (kWh),E_NT2FC (kWh),LCOH ($/kg),LCOS ($/kWh),Electrolyzer Losses (kWh),Converter Losses (kWh),Storage Losses (kg),Balance of Plant (BoP) (kWh),Month
2023-01-01 12:00,18785.08,1410.36,67.85,37.52,43.87,24.38,29.19,812.67,60.01,13.23,43.94,95.78,482.0,1.71,0.07,42.16,1.71,7514.03,1047.6819,24.38,3.5294,0.1997,91.0193,1453.4368,1.5436,878.4778,January
2023-01-01 13:00,16542.95,689.47,23.77,51.55,45.73,21.27,20.58,749.4,61.36,13.71,41.95,95.06,437.0,1.49,0.07,44.24,1.49,6617.18,537.6967,21.27,3.2918,0.1985,46.6123,1389.2001,2.27,446.6166,January
2023-01-01 14:00,19170.2,381.08,62.32,127.81,45.42,10.77,40.91,642.71,64.34,14.11,43.6,95.22,683.03,0.75,0.07,44.67,0.75,7668.08,293.5569,10.77,3.2744,0.2811,20.63,1378.2508,1.8219,644.2151,January
2023-01-01 15:00,16529.35,968.99,31.03,112.21,41.46,13.61,42.24,818.68,60.43,13.7,44.67,94.38,441.82,0.95,0.07,40.51,0.95,6611.74,679.8744,13.61,3.6985,0.2976,64.1591,856.0823,1.6453,412.6158,January
2023-01-01 16:00,19788.46,586.01,41.49,139.37,46.57,16.12,21.33,617.11,61.26,14.94,42.34,95.82,496.57,1.13,0.07,45.44,1.13,7915.38,444.3724,16.12,2.7611,0.2752,49.502,1464.3566,1.0386,758.2807,January
2023-01-01 17:00,16358.52,950.22,41.39,174.34,24.9,13.16,35.91,1326.36,63.17,13.23,42.41,94.97,493.25,0.92,0.07,23.98,0.92,6543.41,755.9013,13.16,2.9135,0.131,87.2678,1078.8997,1.1511,644.5807,January
2023-01-01 18:00,17841.01,69.45,66.88,133.04,43.29,12.45,41.01,1457.6,60.98,14.53,43.82,95.98,430.5,0.87,0.07,42.42,0.87,7136.4,51.8605,12.45,4.3734,0.2023,4.9044,1696.7853,1.6966,710.0586,January
2023-01-01 19:00,16942.89,1.05,91.24,74.56,38.43,32.1,24.4,166.66,63.51,14.97,42.07,94.09,9.62,2.25,0.07,36.18,2.25,6777.16,0.779,32.1,2.9332,0.1008,0.1045,1445.6504,1.8144,567.7712,January
2023-01-01 20:00,18325.53,0.88,58.49,33.13,24.45,17.08,16.91,291.59,63.97,13.74,42.2,95.22,4.69,1.2,0.07,23.25,1.2,7330.21,0.6356,17.08,3.8122,0.2327,0.0556,1181.8289,0.8739,776.2444,January
2023-01-01 21:00,17376.56,4.92,77.21,187.93,20.51,21.49,24.7,280.31,64.73,14.04,43.91,94.3,8.53,1.5,0.07,19.01,1.5,6950.62,3.6068,21.49,3.234,0.2624,0.4097,1130.6793,0.6915,833.9911,January
2023-01-01 22:00,17698.61,7.29,91.63,18.68,29.0,19.97,20.27,259.32,61.91,14.1,41.65,94.66,2.71,1.4,0.07,27.6,1.4,7079.44,4.6927,19.97,3.2543,0.2031,0.6437,1112.719,1.2815,751.7232,January
2023-01-01 23:00,15757.25,9.0,35.8,30.72,22.05,17.24,18.37,181.03,60.78,14.92,43.48,95.55,8.02,1.21,0.07,20.84,1.21,6302.9,7.0334,17.24,4.4476,0.2819,0.4926,918.0582,0.7032,774.2205,January
2023-01-02 0:00,19389.19,0.99,43.42,180.82,48.14,29.35,22.72,206.21,62.25,13.28,44.95,95.03,5.16,2.05,0.07,46.09,2.05,7755.68,0.7551,29.35,3.0923,0.2459,0.0478,1095.2258,1.5423,476.1043,January
2023-01-02 1:00,18837.63,5.81,39.63,35.18,20.96,35.54,17.71,269.85,64.51,13.56,41.61,94.29,7.2,2.49,0.07,18.47,2.49,7535.05,3.5226,35.54,4.2836,0.2929,0.4461,1283.5029,0.5649,380.757,January
2023-01-02 2:00,15225.82,2.66,21.59,155.75,36.58,31.11,17.82,156.64,61.77,13.1,41.78,94.06,3.04,2.18,0.07,34.4,2.18,6090.33,1.8369,31.11,3.6888,0.13,0.2364,771.7942,1.6143,448.1328,January
2023-01-02 3:00,15591.52,7.36,18.24,12.52,48.53,30.02,24.57,242.32,60.96,14.3,41.13,95.35,6.22,2.1,0.07,46.43,2.1,6236.61,5.8581,30.02,2.744,0.1353,0.8666,799.9311,1.3782,645.2242,January
2023-01-02 4:00,18607.98,0.27,12.53,171.4,31.67,10.63,21.55,254.46,61.01,14.76,41.58,95.04,8.34,0.74,0.07,30.93,0.74,7443.19,0.1907,10.63,3.2794,0.209,0.0099,1823.7742,0.9372,650.6693,January
2023-01-02 5:00,17764.48,4.72,64.4,93.0,28.81,26.11,15.27,253.72,60.91,13.64,43.66,94.77,6.8,1.83,0.07,26.98,1.83,7105.79,3.5599,26.11,4.3985,0.2724,0.2565,1092.0929,0.8867,873.2869,January
2023-01-02 6:00,15027.6,6.6,42.61,51.7,46.36,24.38,24.99,259.46,64.06,13.15,42.94,95.79,1.08,1.71,0.07,44.65,1.71,6011.04,4.6093,24.38,2.647,0.109,0.4585,1300.663,1.3514,493.3977,January
2023-01-02 7:00,19415.63,468.68,46.63,152.22,39.24,31.49,29.24,884.41,62.85,14.22,42.02,95.87,504.27,2.2,0.07,37.04,2.2,7766.25,299.4088,31.49,3.0428,0.201,37.4432,1532.4807,1.8833,935.9408,January
2023-01-02 8:00,19443.7,663.26,41.27,21.34,49.78,28.87,42.02,503.49,60.0,13.23,41.42,94.36,715.62,2.02,0.07,47.76,2.02,7777.48,456.3078,28.87,3.1705,0.2936,56.5869,1469.5295,2.1647,582.7331,January
2023-01-02 9:00,15587.17,994.45,53.15,32.59,47.87,33.76,27.23,1486.36,62.74,14.06,43.69,94.1,877.05,2.36,0.07,45.51,2.36,6234.87,789.6341,33.76,3.7487,0.2761,65.7102,799.4902,1.9515,466.6775,January
2023-01-02 10:00,18614.97,486.92,74.73,87.93,49.04,27.14,24.88,1255.58,62.53,14.58,42.9,95.73,290.49,1.9,0.07,47.14,1.9,7445.99,350.754,27.14,3.7372,0.1124,28.0148,1288.441,2.299,506.3819,January
2023-01-02 11:00,18620.2,1421.36,64.54,101.01,34.75,33.81,40.03,890.54,60.94,14.78,43.94,95.92,500.49,2.37,0.07,32.38,2.37,7448.08,1095.7561,33.81,3.4555,0.2993,138.1658,1311.1174,1.0044,887.8716,January
2023-01-02 12:00,17238.01,148.72,26.66,101.47,46.21,19.28,21.61,931.43,64.0,13.47,43.73,94.99,598.81,1.35,0.07,44.86,1.35,6895.2,102.6521,19.28,4.4162,0.1031,7.0822,1679.5945,1.5784,764.2247,January
2023-01-02 13:00,16474.31,1455.47,83.23,174.77,25.36,16.41,25.06,1037.23,61.76,14.19,42.53,95.38,799.14,1.15,0.07,24.21,1.15,6589.72,1155.1168,16.41,3.2892,0.2853,121.5212,853.4785,1.073,557.1305,January
2023-01-02 14:00,19380.93,858.63,82.89,33.78,20.26,29.55,43.63,1022.95,63.79,13.03,40.84,94.23,885.19,2.07,0.07,18.19,2.07,7752.37,568.5851,29.55,3.9713,0.1857,79.3866,1874.7613,0.5555,444.9993,January
2023-01-02 15:00,15494.96,553.39,87.53,75.09,42.72,13.59,20.69,815.43,64.87,13.8,42.94,94.54,970.99,0.95,0.07,41.77,0.95,6197.98,418.7485,13.59,3.1945,0.1355,56.0543,1237.9038,1.4855,632.736,January
2023-01-02 16:00,15011.52,1191.54,84.79,123.19,44.22,23.88,26.4,1129.67,60.44,13.34,43.99,94.6,689.02,1.67,0.07,42.55,1.67,6004.61,940.6451,23.88,3.7539,0.144,122.4965,902.1941,2.16,450.9712,January
2023-01-02 17:00,15323.49,1163.27,43.8,10.85,20.02,38.31,36.67,1010.02,62.52,14.61,43.88,95.36,447.74,2.68,0.07,17.34,2.68,6129.4,711.0998,38.31,3.6016,0.2195,96.5422,1409.1102,0.759,710.1233,January
2023-01-02 18:00,19383.22,846.68,79.41,196.98,28.75,28.26,27.99,645.16,63.46,14.17,41.86,94.15,986.36,1.98,0.07,26.77,1.98,7753.29,672.8063,28.26,2.5191,0.112,90.521,1742.8758,0.9678,427.5959,January
2023-01-02 19:00,15968.19,1.25,59.82,110.78,27.32,26.19,16.08,242.05,60.37,14.23,41.7,95.46,1.03,1.83,0.07,25.49,1.83,6387.28,0.8027,26.19,3.1308,0.2885,0.0617,1523.9275,0.7184,495.2998,January
2023-01-02 20:00,18374.59,3.42,10.07,127.36,30.96,31.01,18.3,200.53,64.8,14.19,41.77,94.56,7.71,2.17,0.07,28.79,2.17,7349.84,2.675,31.01,4.4318,0.1525,0.1853,1273.6806,0.7399,761.9251,January
2023-01-02 21:00,16790.93,6.26,31.22,176.04,41.21,26.62,20.49,171.95,64.66,14.78,40.54,94.63,3.93,1.86,0.07,39.35,1.86,6716.37,4.8249,26.62,3.3594,0.1909,0.344,859.3048,1.289,827.1144,January
2023-01-02 22:00,16808.75,5.66,96.49,188.4,43.01,21.85,17.97,142.22,61.23,13.75,41.71,95.96,1.23,1.53,0.07,41.48,1.53,6723.5,3.5738,21.85,4.0326,0.1206,0.32,1142.1071,1.9661,455.4664,January
2023-01-02 23:00,17146.83,0.24,23.77,184.0,48.23,34.72,16.22,101.96,64.02,14.79,43.95,94.12,4.44,2.43,0.07,45.8,2.43,6858.73,0.1568,34.72,2.7281,0.285,0.0191,1316.9825,1.2251,655.4538,January
2023-01-03 0:00,17283.25,2.07,66.17,69.95,41.24,21.9,24.78,128.65,64.64,13.84,44.33,94.77,7.09,1.53,0.07,39.71,1.53,6913.3,1.2461,21.9,3.5758,0.2185,0.0815,1616.0994,0.8459,836.8383,January
2023-01-03 1:00,18430.29,8.32,27.18,136.73,46.14,14.33,23.99,171.51,63.97,14.46,42.17,94.95,8.38,1.0,0.07,45.14,1.0,7372.12,6.4115,14.33,2.9058,0.2653,0.4781,1461.0883,1.5827,688.3083,January
2023-01-03 2:00,18337.32,0.49,31.75,85.01,22.9,11.07,20.32,269.07,63.1,14.99,40.09,95.27,9.84,0.77,0.07,22.13,0.77,7334.93,0.3078,11.07,4.2248,0.1123,0.0394,1508.2639,1.007,532.9236,January
2023-01-03 3:00,16436.92,2.48,40.16,106.17,43.22,39.54,15.88,138.54,60.79,13.62,44.53,95.13,2.1,2.77,0.07,40.45,2.77,6574.77,1.9378,39.54,3.5762,0.2096,0.1669,1573.5987,1.5747,382.3099,January
2023-01-03 4:00,17213.58,9.48,40.31,82.37,39.2,32.83,22.46,255.99,62.06,13.25,44.79,94.2,2.32,2.3,0.07,36.9,2.3,6885.43,6.113,32.83,3.2202,0.1153,0.6124,1140.9281,1.0994,667.3446,January
2023-01-03 5:00,19814.18,4.95,82.79,33.7,36.31,19.56,17.27,175.68,62.85,13.89,42.89,94.12,0.8,1.37,0.07,34.94,1.37,7925.67,3.121,19.56,3.5866,0.279,0.1866,1105.1619,1.7685,435.6428,January
2023-01-03 6:00,17346.76,0.03,72.63,40.44,49.37,10.09,16.93,138.24,60.08,14.29,41.86,95.24,7.02,0.71,0.07,48.66,0.71,6938.7,0.0196,10.09,3.056,0.1342,0.0027,1085.1222,1.6701,391.3428,January
2023-01-03 7:00,15531.67,1453.35,46.26,33.88,43.9,36.47,25.27,1222.11,61.53,13.16,43.79,94.53,279.02,2.55,0.07,41.35,2.55,6212.67,916.012,36.47,2.827,0.1994,78.8982,1367.1279,1.4963,458.3487,January
2023-01-03 8:00,17181.3,1148.42,46.3,29.59,23.89,19.91,31.55,1171.78,64.73,13.56,44.42,95.17,603.61,1.39,0.07,22.5,1.39,6872.52,799.0676,19.91,3.707,0.13,112.1344,1066.1621,0.5605,568.0573,January
2023-01-03 9:00,16204.01,599.17,18.92,178.33,34.67,16.14,23.48,717.23,62.61,14.5,41.33,94.8,302.39,1.13,0.07,33.54,1.13,6481.6,451.09,16.14,3.2804,0.1206,38.7559,952.0862,1.4063,807.5579,January
2023-01-03 10:00,15363.12,124.95,19.46,86.57,48.14,38.69,26.99,928.4,62.58,13.83,41.19,95.76,520.03,2.71,0.07,45.43,2.71,6145.25,90.3788,38.69,3.4066,0.2494,7.5168,1494.1338,1.6108,368.0864,January
2023-01-03 11:00,15802.95,239.19,62.6,193.23,36.41,32.48,29.78,774.61,62.35,13.98,41.29,94.36,921.18,2.27,0.07,34.14,2.27,6321.18,149.9249,32.48,3.486,0.2829,8.8477,814.1804,1.3767,775.8949,January
2023-01-03 12:00,17981.37,517.17,23.99,176.86,42.31,13.33,37.7,1455.17,62.44,13.34,44.1,95.38,795.63,0.93,0.07,41.38,0.93,7192.55,317.6095,13.33,4.4005,0.2461,23.9414,1322.1306,0.964,371.3359,January
2023-01-03 13:00,18018.95,1222.07,24.82,34.54,49.24,21.01,22.61,703.29,61.15,13.3,40.1,95.78,421.85,1.47,0.07,47.77,1.47,7207.58,783.6438,21.01,3.521,0.1802,103.1793,1458.914,1.7708,708.6784,January
2023-01-03 14:00,19657.23,1483.93,82.79,64.0,40.18,39.09,30.99,1471.66,60.32,14.25,40.23,94.63,444.23,2.74,0.07,37.44,2.74,7862.89,1045.5604,39.09,2.8136,0.1005,116.453,1380.9741,1.4466,759.1506,January
2023-01-03 15:00,16232.44,1003.19,19.88,45.8,25.43,16.67,32.57,1070.52,62.27,13.88,41.31,94.71,981.06,1.17,0.07,24.26,1.17,6492.98,761.213,16.67,3.7778,0.1181,72.0935,1500.2815,1.1049,729.7662,January
2023-01-03 16:00,16030.34,330.57,58.19,139.46,32.51,15.39,22.31,1270.26,62.62,14.92,43.41,95.97,871.32,1.08,0.07,31.43,1.08,6412.14,256.0018,15.39,2.545,0.2149,15.3746,1354.5036,1.6163,359.1667,January
2023-01-03 17:00,18623.25,499.1,82.28,45.52,48.21,17.82,37.01,698.7,60.31,14.18,43.86,94.11,352.58,1.25,0.07,46.96,1.25,7449.3,393.6663,17.82,3.7317,0.2939,36.2153,1771.9889,1.0326,784.5836,January
2023-01-03 18:00,18977.0,282.9,16.25,45.1,35.45,37.93,30.65,847.93,61.78,13.25,40.78,95.95,614.36,2.66,0.07,32.79,2.66,7590.8,193.9491,37.93,3.4931,0.2883,28.3718,1418.3079,1.0487,724.4898,January
2023-01-03 19:00,19935.59,7.03,25.17,39.53,43.42,37.55,20.67,228.62,64.36,14.97,41.8,94.08,2.7,2.63,0.07,40.79,2.63,7974.24,4.7958,37.55,3.1392,0.1646,0.5943,1146.6568,1.002,959.4616,January
2023-01-03 20:00,19432.93,1.9,24.54,76.13,20.47,14.1,20.15,224.27,60.85,14.88,41.96,95.25,8.87,0.99,0.07,19.48,0.99,7773.17,1.5138,14.1,3.3978,0.2585,0.1703,1365.3519,0.4763,780.7395,January
2023-01-03 21:00,19907.55,7.68,93.22,107.08,44.92,15.36,15.89,111.12,60.18,13.82,43.45,95.61,6.07,1.08,0.07,43.84,1.08,7963.02,5.3739,15.36,3.1939,0.128,0.6529,1777.1616,1.5055,438.0356,January
2023-01-03 22:00,18457.05,6.49,74.57,121.05,27.63,23.95,24.17,151.84,62.01,14.24,41.96,95.55,4.85,1.68,0.07,25.95,1.68,7382.82,3.8957,23.95,2.5316,0.1743,0.219,1320.9191,1.1364,883.4671,January
2023-01-03 23:00,19210.13,8.97,30.99,125.35,29.56,30.66,20.48,101.03,64.67,14.07,42.17,95.25,0.44,2.15,0.07,27.41,2.15,7684.05,6.1815,30.66,3.6667,0.2201,0.6625,1653.4038,1.3332,874.925,January
2023-01-04 0:00,19913.95,7.64,45.06,185.7,29.36,30.95,23.7,219.96,61.32,14.48,40.88,94.66,4.0,2.17,0.07,27.19,2.17,7965.58,5.3197,30.95,3.2189,0.1777,0.3755,1208.8761,1.4494,773.7492,January
2023-01-04 1:00,16087.26,9.18,59.64,14.69,35.17,23.92,20.25,137.03,61.68,13.45,42.39,95.56,1.03,1.67,0.07,33.5,1.67,6434.9,6.8529,23.92,2.7967,0.2734,0.9451,1139.1577,0.8015,564.5561,January
2023-01-04 2:00,18388.43,7.25,73.96,162.22,42.82,31.74,16.86,237.36,63.28,13.46,43.41,95.7,2.99,2.22,0.07,40.6,2.22,7355.37,4.8898,31.74,4.2678,0.1083,0.4525,1602.1154,1.5436,474.8727,January
2023-01-04 3:00,16052.38,1.0,30.37,108.03,49.47,35.82,17.04,232.23,60.44,14.02,44.03,95.41,1.33,2.51,0.07,46.96,2.51,6420.95,0.6976,35.82,4.2006,0.2684,0.054,1351.5661,2.168,556.7654,January
2023-01-04 4:00,19562.6,8.95,26.88,63.54,20.37,39.03,20.76,163.35,62.31,14.72,41.72,95.4,0.92,2.73,0.07,17.64,2.73,7825.04,6.9962,39.03,4.4803,0.1332,0.8835,1430.1369,0.5315,831.8607,January
2023-01-04 5:00,17616.3,4.69,51.05,181.87,34.55,26.36,20.73,245.49,64.34,14.63,41.7,95.09,0.6,1.85,0.07,32.7,1.85,7046.52,3.1121,26.36,4.2435,0.2781,0.4078,1289.2981,1.6069,482.9892,January
2023-01-04 6:00,19017.92,6.97,45.45,89.71,28.22,27.68,21.87,157.75,64.4,13.95,42.87,95.16,0.22,1.94,0.07,26.28,1.94,7607.17,4.7961,27.68,3.9145,0.2965,0.7191,1117.0635,0.7558,520.2959,January
2023-01-04 7:00,15152.79,35.16,91.05,160.43,42.57,25.92,27.98,753.84,61.42,14.5,43.89,95.61,288.23,1.81,0.07,40.76,1.81,6061.12,26.6969,25.92,3.7881,0.2496,1.8464,855.1987,0.943,442.428,January
2023-01-04 8:00,16840.55,449.38,10.96,191.69,28.75,10.73,37.51,777.56,61.24,14.27,42.3,94.49,264.57,0.75,0.07,28.0,0.75,6736.22,307.0305,10.73,3.9028,0.1458,45.1628,1515.5974,0.6884,650.2187,January
2023-01-04 9:00,15308.18,172.54,86.08,122.14,49.41,15.47,41.01,853.38,62.02,13.89,40.66,95.51,896.14,1.08,0.07,48.33,1.08,6123.27,121.8577,15.47,3.3306,0.1174,14.3054,1126.3575,1.7396,704.0863,January
2023-01-04 10:00,19491.05,1018.7,71.18,139.88,31.0,14.39,30.8,1370.6,60.05,14.75,40.27,95.93,805.06,1.01,0.07,29.99,1.01,7796.42,799.3235,14.39,3.1103,0.1561,114.8187,1301.305,1.4649,793.2435,January
2023-01-04 11:00,19740.82,1473.2,52.85,175.75,24.22,16.41,41.33,710.43,62.02,14.42,44.96,95.61,912.18,1.15,0.07,23.07,1.15,7896.33,1178.0495,16.41,2.7124,0.1992,156.2748,1951.4304,1.021,580.1956,January
2023-01-04 12:00,15196.51,171.69,99.78,134.43,45.76,33.19,35.9,868.45,61.66,14.42,42.04,94.92,430.96,2.32,0.07,43.44,2.32,6078.6,124.1559,33.19,3.0545,0.1209,8.0459,774.1656,1.8817,324.3371,January
2023-01-04 13:00,15960.9,965.38,59.65,35.79,32.36,35.13,23.02,847.16,63.37,14.19,44.7,95.32,889.15,2.46,0.07,29.9,2.46,6384.36,738.0455,35.13,2.7684,0.2904,59.0851,1168.5957,0.9697,595.5028,January
2023-01-04 14:00,18303.56,779.91,21.9,84.24,26.68,36.85,22.18,867.51,62.05,14.17,40.39,94.7,616.69,2.58,0.07,24.1,2.58,7321.42,501.9027,36.85,3.5903,0.2979,67.7816,1188.5019,1.3044,434.3021,January
2023-01-04 15:00,19843.36,67.4,67.35,180.96,26.41,27.02,24.64,842.11,64.66,13.49,44.79,95.65,880.07,1.89,0.07,24.52,1.89,7937.34,53.6806,27.02,2.7625,0.2039,7.8938,1000.8802,0.8631,676.7946,January
2023-01-04 16:00,16513.61,1130.81,23.07,43.91,27.45,22.82,41.33,1398.05,60.23,14.77,44.4,94.51,868.48,1.6,0.07,25.85,1.6,6605.44,848.3036,22.82,2.5525,0.2481,47.4044,1239.0166,1.043,691.6158,January
2023-01-04 17:00,15837.19,948.53,82.52,45.28,37.42,15.21,22.9,1185.18,63.29,14.64,42.99,95.09,459.78,1.06,0.07,36.36,1.06,6334.88,736.7495,15.21,2.6304,0.294,100.5308,835.6865,1.1526,485.5143,January
2023-01-04 18:00,19339.1,1020.81,70.81,43.94,28.95,34.94,42.74,620.62,62.59,13.81,40.55,95.6,669.25,2.45,0.07,26.5,2.45,7735.64,640.9343,34.94,2.9454,0.1233,73.4988,1676.2186,1.2484,425.7369,January
2023-01-04 19:00,18785.36,9.02,75.85,178.02,45.06,20.82,16.87,183.4,62.43,14.52,43.18,95.47,8.11,1.46,0.07,43.6,1.46,7514.14,7.2037,20.82,3.2355,0.1512,0.5639,1222.5474,2.0077,851.2682,January
2023-01-04 20:00,19033.73,0.2,11.43,110.38,49.3,29.34,19.03,236.67,62.47,14.81,43.87,95.41,4.08,2.05,0.07,47.25,2.05,7613.49,0.1313,29.34,4.2149,0.2084,0.0133,1136.8564,1.4046,571.7595,January
2023-01-04 21:00,19815.38,7.74,36.12,186.41,25.74,39.98,21.87,193.89,63.4,14.14,40.96,94.82,3.49,2.8,0.07,22.94,2.8,7926.15,6.0769,39.98,3.5015,0.2914,0.6709,1247.0507,0.7212,477.9913,January
2023-01-04 22:00,15426.96,7.05,93.59,54.34,39.58,34.04,18.77,185.77,61.57,13.05,41.72,95.98,9.42,2.38,0.07,37.2,2.38,6170.78,5.6365,34.04,3.6249,0.1506,0.2917,1171.9523,1.3257,316.9162,January
2023-01-04 23:00,18375.05,3.76,66.5,69.22,35.19,20.63,22.23,146.42,62.25,14.57,40.67,95.32,1.54,1.44,0.07,33.75,1.44,7350.02,2.4422,20.63,3.6059,0.1191,0.2819,1574.8755,0.9203,621.5359,January
2023-01-05 0:00,18600.65,1.14,36.42,12.4,46.74,29.45,20.59,163.68,64.67,14.28,44.51,95.46,4.81,2.06,0.07,44.68,2.06,7440.26,0.8967,29.45,4.044,0.2758,0.0698,1193.2414,1.7971,838.552,January
2023-01-05 1:00,16857.85,0.97,93.14,126.56,27.51,39.71,15.29,160.16,64.79,13.48,42.45,94.75,8.37,2.78,0.07,24.73,2.78,6743.14,0.7558,39.71,2.5973,0.1453,0.0857,1098.8567,1.3153,809.827,January
2023-01-05 2:00,17448.18,3.88,25.93,132.84,41.96,24.83,24.12,236.76,62.69,14.93,44.82,95.82,1.89,1.74,0.07,40.22,1.74,6979.27,2.5874,24.83,3.3204,0.2091,0.1615,1104.0251,1.8755,776.3734,January
2023-01-05 3:00,18090.69,6.23,21.25,82.91,22.55,34.63,22.61,278.65,61.96,14.88,42.88,95.61,1.15,2.42,0.07,20.13,2.42,7236.28,4.4725,34.63,4.0299,0.2454,0.5759,1591.1286,1.0221,514.3923,January
2023-01-05 4:00,18091.25,7.75,55.87,152.44,26.8,18.09,21.87,136.31,63.65,13.13,43.61,95.46,5.06,1.27,0.07,25.53,1.27,7236.5,6.0916,18.09,3.2391,0.2583,0.6905,1039.8968,1.1948,797.5834,January
2023-01-05 5:00,15457.92,4.91,33.16,13.81,25.97,28.71,16.97,207.68,62.46,13.31,40.63,94.69,1.93,2.01,0.07,23.96,2.01,6183.17,3.7315,28.71,4.003,0.1065,0.328,784.2532,0.9067,717.9875,January
2023-01-05 6:00,16420.1,9.7,37.74,153.63,26.82,32.91,23.7,268.5,64.48,14.89,41.83,94.38,8.83,2.3,0.07,24.52,2.3,6568.04,6.4655,32.91,4.1626,0.16,0.6543,1549.4275,1.1976,463.8787,January
2023-01-05 7:00,19637.23,487.16,35.37,112.58,38.93,21.26,24.28,1322.94,63.9,14.01,42.08,95.05,513.66,1.49,0.07,37.44,1.49,7854.89,388.583,21.26,3.9618,0.2393,54.4788,1437.4787,1.6658,800.7638,January
